[2023-11-20 13:48:43,606][numexpr.utils][INFO] - Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2023-11-20 13:48:43,607][numexpr.utils][INFO] - NumExpr defaulting to 8 threads.
[2023-11-20 13:51:31,096][PML][INFO] - New best accuracy! 0.4402973140216384
[2023-11-20 13:51:31,293][PML][INFO] - TRAINING EPOCH 8
[2023-11-20 13:51:48,924][PML][INFO] - Evaluating epoch 8
[2023-11-20 13:51:48,925][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:51:52,450][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:51:52,453][PML][INFO] - running k-nn with k=51
[2023-11-20 13:51:52,453][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:51:52,996][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:51:52,996][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:51:53,812][PML][INFO] - TRAINING EPOCH 9
[2023-11-20 13:52:11,551][PML][INFO] - Evaluating epoch 9
[2023-11-20 13:52:11,551][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:52:14,894][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:52:14,896][PML][INFO] - running k-nn with k=51
[2023-11-20 13:52:14,896][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:52:15,426][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:52:15,426][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:52:16,238][PML][INFO] - New best accuracy! 0.44173869720932135
[2023-11-20 13:52:16,442][PML][INFO] - TRAINING EPOCH 10
[2023-11-20 13:52:34,531][PML][INFO] - Evaluating epoch 10
[2023-11-20 13:52:34,532][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:52:37,874][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:52:37,877][PML][INFO] - running k-nn with k=51
[2023-11-20 13:52:37,878][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:52:38,468][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:52:38,468][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:52:39,299][PML][INFO] - New best accuracy! 0.4418473002768771
[2023-11-20 13:52:39,496][PML][INFO] - TRAINING EPOCH 11
[2023-11-20 13:52:57,151][PML][INFO] - Evaluating epoch 11
[2023-11-20 13:52:57,152][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:53:00,966][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:53:00,969][PML][INFO] - running k-nn with k=51
[2023-11-20 13:53:00,969][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:53:01,509][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:53:01,509][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:53:02,309][PML][INFO] - TRAINING EPOCH 12
[2023-11-20 13:53:20,467][PML][INFO] - Evaluating epoch 12
[2023-11-20 13:53:20,468][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:53:24,248][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:53:24,249][PML][INFO] - running k-nn with k=51
[2023-11-20 13:53:24,249][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:53:24,769][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:53:24,769][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:53:25,570][PML][INFO] - TRAINING EPOCH 13
[2023-11-20 13:53:43,639][PML][INFO] - Evaluating epoch 13
[2023-11-20 13:53:43,640][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:53:47,398][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:53:47,400][PML][INFO] - running k-nn with k=51
[2023-11-20 13:53:47,400][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:53:47,907][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:53:47,908][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:53:48,727][PML][INFO] - TRAINING EPOCH 14
[2023-11-20 13:54:06,902][PML][INFO] - Evaluating epoch 14
[2023-11-20 13:54:06,903][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:54:10,608][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:54:10,610][PML][INFO] - running k-nn with k=51
[2023-11-20 13:54:10,610][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:54:11,120][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:54:11,120][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:54:11,967][PML][INFO] - TRAINING EPOCH 15
[2023-11-20 13:54:29,876][PML][INFO] - Evaluating epoch 15
[2023-11-20 13:54:29,877][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:54:33,616][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:54:33,617][PML][INFO] - running k-nn with k=51
[2023-11-20 13:54:33,617][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:54:34,138][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:54:34,138][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:54:34,986][PML][INFO] - TRAINING EPOCH 16
[2023-11-20 13:54:52,978][PML][INFO] - Evaluating epoch 16
[2023-11-20 13:54:52,979][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:54:56,763][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:54:56,765][PML][INFO] - running k-nn with k=51
[2023-11-20 13:54:56,765][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:54:57,337][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:54:57,337][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:54:58,184][PML][INFO] - TRAINING EPOCH 17
[2023-11-20 13:55:16,125][PML][INFO] - Evaluating epoch 17
[2023-11-20 13:55:16,126][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:55:19,876][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:55:19,877][PML][INFO] - running k-nn with k=51
[2023-11-20 13:55:19,877][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:55:20,455][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:55:20,455][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:55:21,253][PML][INFO] - TRAINING EPOCH 18
[2023-11-20 13:55:39,148][PML][INFO] - Evaluating epoch 18
[2023-11-20 13:55:39,148][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:55:42,849][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:55:42,851][PML][INFO] - running k-nn with k=51
[2023-11-20 13:55:42,851][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:55:43,360][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:55:43,360][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:55:44,198][PML][INFO] - TRAINING EPOCH 19
[2023-11-20 13:56:02,071][PML][INFO] - Evaluating epoch 19
[2023-11-20 13:56:02,071][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:56:05,810][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:56:05,811][PML][INFO] - running k-nn with k=51
[2023-11-20 13:56:05,811][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:56:06,337][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:56:06,338][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:56:07,184][PML][INFO] - TRAINING EPOCH 20
[2023-11-20 13:56:25,342][PML][INFO] - Evaluating epoch 20
[2023-11-20 13:56:25,342][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:56:29,101][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:56:29,104][PML][INFO] - running k-nn with k=51
[2023-11-20 13:56:29,104][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:56:29,669][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:56:29,669][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:56:30,519][PML][INFO] - TRAINING EPOCH 21
[2023-11-20 13:56:48,544][PML][INFO] - Evaluating epoch 21
[2023-11-20 13:56:48,545][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:56:52,316][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:56:52,318][PML][INFO] - running k-nn with k=51
[2023-11-20 13:56:52,318][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:56:52,856][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:56:52,856][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:56:53,709][PML][INFO] - TRAINING EPOCH 22
[2023-11-20 13:57:11,867][PML][INFO] - Evaluating epoch 22
[2023-11-20 13:57:11,868][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:57:15,607][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:57:15,609][PML][INFO] - running k-nn with k=51
[2023-11-20 13:57:15,609][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:57:16,110][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:57:16,111][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:57:16,948][PML][INFO] - New best accuracy! 0.4435368558269124
[2023-11-20 13:57:17,139][PML][INFO] - TRAINING EPOCH 23
[2023-11-20 13:57:35,433][PML][INFO] - Evaluating epoch 23
[2023-11-20 13:57:35,434][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:57:39,175][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:57:39,178][PML][INFO] - running k-nn with k=51
[2023-11-20 13:57:39,178][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:57:39,725][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:57:39,726][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:57:40,629][PML][INFO] - TRAINING EPOCH 24
[2023-11-20 13:57:58,686][PML][INFO] - Evaluating epoch 24
[2023-11-20 13:57:58,686][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:58:02,516][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:58:02,518][PML][INFO] - running k-nn with k=51
[2023-11-20 13:58:02,518][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:58:03,082][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:58:03,082][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:58:03,937][PML][INFO] - TRAINING EPOCH 25
[2023-11-20 13:58:21,884][PML][INFO] - Evaluating epoch 25
[2023-11-20 13:58:21,885][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:58:25,602][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:58:25,603][PML][INFO] - running k-nn with k=51
[2023-11-20 13:58:25,604][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:58:26,179][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:58:26,180][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:58:27,024][PML][INFO] - New best accuracy! 0.44453273067415033
[2023-11-20 13:58:27,215][PML][INFO] - TRAINING EPOCH 26
[2023-11-20 13:58:45,039][PML][INFO] - Evaluating epoch 26
[2023-11-20 13:58:45,040][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:58:48,813][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:58:48,815][PML][INFO] - running k-nn with k=51
[2023-11-20 13:58:48,815][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:58:49,359][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:58:49,359][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:58:50,211][PML][INFO] - TRAINING EPOCH 27
[2023-11-20 13:59:08,214][PML][INFO] - Evaluating epoch 27
[2023-11-20 13:59:08,214][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:59:11,914][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:59:11,916][PML][INFO] - running k-nn with k=51
[2023-11-20 13:59:11,916][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:59:12,445][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:59:12,445][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:59:13,286][PML][INFO] - TRAINING EPOCH 28
[2023-11-20 13:59:31,352][PML][INFO] - Evaluating epoch 28
[2023-11-20 13:59:31,353][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:59:35,113][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:59:35,115][PML][INFO] - running k-nn with k=51
[2023-11-20 13:59:35,115][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:59:35,652][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:59:35,652][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:59:36,501][PML][INFO] - TRAINING EPOCH 29
[2023-11-20 13:59:54,449][PML][INFO] - Evaluating epoch 29
[2023-11-20 13:59:54,450][PML][INFO] - Getting embeddings for the val split
[2023-11-20 13:59:58,202][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 13:59:58,203][PML][INFO] - running k-nn with k=51
[2023-11-20 13:59:58,203][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:59:58,715][PML][INFO] - running k-means clustering with k=48
[2023-11-20 13:59:58,716][PML][INFO] - embedding dimensionality is 128
[2023-11-20 13:59:59,567][PML][INFO] - TRAINING EPOCH 30
[2023-11-20 14:00:17,543][PML][INFO] - Evaluating epoch 30
[2023-11-20 14:00:17,544][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:00:21,287][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:00:21,289][PML][INFO] - running k-nn with k=51
[2023-11-20 14:00:21,289][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:00:21,800][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:00:21,800][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:00:22,645][PML][INFO] - TRAINING EPOCH 31
[2023-11-20 14:00:40,694][PML][INFO] - Evaluating epoch 31
[2023-11-20 14:00:40,695][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:00:44,395][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:00:44,397][PML][INFO] - running k-nn with k=51
[2023-11-20 14:00:44,398][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:00:44,939][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:00:44,939][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:00:45,724][PML][INFO] - New best accuracy! 0.44906459991148334
[2023-11-20 14:00:45,920][PML][INFO] - TRAINING EPOCH 32
[2023-11-20 14:01:03,493][PML][INFO] - Evaluating epoch 32
[2023-11-20 14:01:03,493][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:01:07,271][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:01:07,273][PML][INFO] - running k-nn with k=51
[2023-11-20 14:01:07,273][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:01:07,791][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:01:07,791][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:01:08,654][PML][INFO] - TRAINING EPOCH 33
[2023-11-20 14:01:26,722][PML][INFO] - Evaluating epoch 33
[2023-11-20 14:01:26,723][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:01:30,566][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:01:30,568][PML][INFO] - running k-nn with k=51
[2023-11-20 14:01:30,569][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:01:31,149][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:01:31,149][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:01:32,002][PML][INFO] - TRAINING EPOCH 34
[2023-11-20 14:01:49,920][PML][INFO] - Evaluating epoch 34
[2023-11-20 14:01:49,921][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:01:53,654][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:01:53,656][PML][INFO] - running k-nn with k=51
[2023-11-20 14:01:53,656][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:01:54,219][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:01:54,219][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:01:55,130][PML][INFO] - TRAINING EPOCH 35
[2023-11-20 14:02:13,014][PML][INFO] - Evaluating epoch 35
[2023-11-20 14:02:13,014][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:02:16,781][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:02:16,782][PML][INFO] - running k-nn with k=51
[2023-11-20 14:02:16,782][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:02:17,322][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:02:17,322][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:02:18,174][PML][INFO] - TRAINING EPOCH 36
[2023-11-20 14:02:36,265][PML][INFO] - Evaluating epoch 36
[2023-11-20 14:02:36,266][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:02:40,041][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:02:40,043][PML][INFO] - running k-nn with k=51
[2023-11-20 14:02:40,043][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:02:40,604][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:02:40,604][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:02:41,459][PML][INFO] - TRAINING EPOCH 37
[2023-11-20 14:02:59,424][PML][INFO] - Evaluating epoch 37
[2023-11-20 14:02:59,424][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:03:03,184][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:03:03,186][PML][INFO] - running k-nn with k=51
[2023-11-20 14:03:03,186][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:03:03,749][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:03:03,749][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:03:04,604][PML][INFO] - TRAINING EPOCH 38
[2023-11-20 14:03:22,596][PML][INFO] - Evaluating epoch 38
[2023-11-20 14:03:22,597][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:03:26,300][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:03:26,302][PML][INFO] - running k-nn with k=51
[2023-11-20 14:03:26,303][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:03:26,880][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:03:26,881][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:03:27,666][PML][INFO] - TRAINING EPOCH 39
[2023-11-20 14:03:45,569][PML][INFO] - Evaluating epoch 39
[2023-11-20 14:03:45,570][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:03:49,282][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:03:49,283][PML][INFO] - running k-nn with k=51
[2023-11-20 14:03:49,283][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:03:49,801][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:03:49,801][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:03:50,801][PML][INFO] - TRAINING EPOCH 40
[2023-11-20 14:04:08,965][PML][INFO] - Evaluating epoch 40
[2023-11-20 14:04:08,966][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:04:12,537][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:04:12,538][PML][INFO] - running k-nn with k=51
[2023-11-20 14:04:12,538][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:04:13,054][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:04:13,054][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:04:13,907][PML][INFO] - TRAINING EPOCH 41
[2023-11-20 14:04:31,969][PML][INFO] - Evaluating epoch 41
[2023-11-20 14:04:31,969][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:04:35,774][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:04:35,775][PML][INFO] - running k-nn with k=51
[2023-11-20 14:04:35,775][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:04:36,313][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:04:36,313][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:04:37,168][PML][INFO] - TRAINING EPOCH 42
[2023-11-20 14:04:55,219][PML][INFO] - Evaluating epoch 42
[2023-11-20 14:04:55,220][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:04:58,918][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:04:58,919][PML][INFO] - running k-nn with k=51
[2023-11-20 14:04:58,919][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:04:59,438][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:04:59,438][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:05:00,308][PML][INFO] - TRAINING EPOCH 43
[2023-11-20 14:05:18,122][PML][INFO] - Evaluating epoch 43
[2023-11-20 14:05:18,123][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:05:21,830][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:05:21,831][PML][INFO] - running k-nn with k=51
[2023-11-20 14:05:21,832][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:05:22,343][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:05:22,343][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:05:23,198][PML][INFO] - TRAINING EPOCH 44
[2023-11-20 14:05:41,205][PML][INFO] - Evaluating epoch 44
[2023-11-20 14:05:41,205][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:05:44,989][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:05:44,990][PML][INFO] - running k-nn with k=51
[2023-11-20 14:05:44,990][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:05:45,525][PML][INFO] - running k-means clustering with k=48
[2023-11-20 14:05:45,525][PML][INFO] - embedding dimensionality is 128
[2023-11-20 14:05:46,377][PML][INFO] - TRAINING EPOCH 45
[2023-11-20 14:06:04,554][PML][INFO] - Evaluating epoch 45
[2023-11-20 14:06:04,555][PML][INFO] - Getting embeddings for the val split
[2023-11-20 14:06:08,319][PML][INFO] - Computing accuracy for the val split w.r.t ['val']
[2023-11-20 14:06:08,321][PML][INFO] - running k-nn with k=51
[2023-11-20 14:06:08,321][PML][INFO] - embedding dimensionality is 128
